[2014/10/11 - 12:36:23] Te han sancionado, por 1 minuto(s). Razón: Prueba
[2014/10/19 - 12:23:38] Te han sancionado, por 1 minuto(s). Razón: PRUEBA
[2014/10/30 - 15:51:38] Te han sancionado, por 1 minuto(s). Razón: 1
[2014/10/30 - 15:52:16] Te han sancionado, por 1 minuto(s). Razón: 0
[2014/10/30 - 15:52:21] Te han sancionado, por 0 minuto(s). Razón: 0
[2016/10/12 - 2:19:24] [AdmCmd]: Jonas Jure fué sancionado por Juan Soriano, razón: MG, tiempo: 2 minuto(s)
[2016/10/12 - 2:20:17] [AdmCmd]: Brian Piazzoni fué sancionado por Joaco DeAvila, razón: MG, tiempo: 10 minuto(s)
[2016/10/12 - 6:4:4] [AdmCmd]: Facundo Fernandez fué sancionado por Nicolas Guevara, razón: ., tiempo: 0 minuto(s)
[2016/10/12 - 6:7:48] [AdmCmd]: Ernesto Beltran fué sancionado por Nicolas Guevara, razón: ., tiempo: 0 minuto(s)
[2016/10/12 - 6:10:43] [AdmCmd]: Harvey Specter fué sancionado por Nicolas Guevara, razón: pg, tiempo: 1 minuto(s)
[2016/10/12 - 19:20:51] [AdmCmd]: Juanjo Jimenez fué sancionado por Joaco DeAvila, razón: NRH+PG, tiempo: 20 minuto(s)
[2016/10/12 - 19:21:2] [AdmCmd]: Juanjo Jimenez fué sancionado por Joaco DeAvila, razón: NRH+PG+NRA+NRE, tiempo: 30 minuto(s)
[2016/10/12 - 20:28:42] [AdmCmd]: Eduardo Salazar fué sancionado por Nicolas Guevara, razón: IOOC, tiempo: 0 minuto(s)
[2016/10/12 - 20:33:2] [AdmCmd]: Nicolas Guevara fué sancionado por Azarel Thawne, razón: MG, tiempo: 88888888 minuto(s)
[2016/10/12 - 20:33:23] [AdmCmd]: Azarel Thawne fué sancionado por Nicolas Guevara, razón: IOOC, tiempo: -1304428545 minuto(s)
[2016/10/13 - 2:37:52] [AdmCmd]: Jimmy Diaz fué sancionado por Bayron Wazouky, razón: DM , tiempo: 5 minuto(s)
[2016/10/13 - 22:13:13] [AdmCmd]: Rudy Fox fué sancionado por Joaco DeAvila, razón: BD, tiempo: 5 minuto(s)
[2016/10/13 - 22:41:10] [AdmCmd]: Jason Odegaard fué sancionado por Joaco DeAvila, razón: NRCA, tiempo: 10 minuto(s)
[2016/10/14 - 2:26:46] [AdmCmd]: Lucas Rojo fué sancionado por Joaco DeAvila, razón: PG (Usar un dildo en plena calle .-.), tiempo: 10 minuto(
[2016/10/14 - 2:29:45] [AdmCmd]: Jason Odegaard fué sancionado por Joaco DeAvila, razón: NRH, tiempo: 10 minuto(s)
[2016/10/14 - 3:3:7] [AdmCmd]: Alejandro Sanchez fué sancionado por Joaco DeAvila, razón: PG+BD, tiempo: 14 minuto(s)
